form	lemmaId	lemma	linkType	pos	via	note
cha gerreeym	gerree.v	gerree	inflected	v.	cha gerree	demutation-unvalidated
chagerreeym	gerree.v	gerree	inflected	v.	cha gerree	collapsed
chagerreeym	gerree.v	gerree	univerbated	v.	cha gerree	
gerreeym	gerree.v	gerree	inflected	v.	cha gerree	demutation-unvalidated
cha gerreeyms	gerree.v	gerree	inflected	v.	cha gerree	demutation-unvalidated
chagerreeyms	gerree.v	gerree	inflected	v.	cha gerree	collapsed
chagerreeyms	gerree.v	gerree	univerbated	v.	cha gerree	
gerreeyms	gerree.v	gerree	inflected	v.	cha gerree	demutation-unvalidated
cherr	kerr.v	kerr	self	v.	cherr	
cherragh	kerr.v	kerr	inflected	v.	cherr	
cherrin	kerr.v	kerr	inflected	v.	cherr	
cherrit	kerr.v	kerr	inflected	v.	cherr	
cherrym	kerr.v	kerr	inflected	v.	cherr	
cherryms	kerr.v	kerr	inflected	v.	cherr	
cherrys	kerr.v	kerr	inflected	v.	cherr	
kerraghey	kerraghey.v	kerraghey	self	v.	kerraghey	
kerrit	kerrit.x	kerrit	self		kerrit	
s'kerrit	s'kerrit.a	s'kerrit	self	a.	s'kerrit	demutation-unvalidated
kerrit	s'kerrit.a	s'kerrit	mutation	a.	s'kerrit	demutation-unvalidated
kerraghey	kerraghey.n	kerraghey	self	s. m.	kerraghey	
kerraghyn	kerraghey.n	kerraghey	inflected	s. m.	kerraghey	
e cherraghey	kerraghey.n	kerraghey	self	s.	e cherraghey	
echerraghey	kerraghey.n	kerraghey	self	s.	e cherraghey	collapsed
echerraghey	kerraghey.n	kerraghey	univerbated	s.	e cherraghey	
cherraghey	kerraghey.n	kerraghey	particle	s.	e cherraghey	
cherraghey	kerraghey.v	kerraghey	demutated	v.	e cherraghey	
nyn gerragh	gerragh.n	gerragh	self	s.	nyn gerragh	
nyngerragh	gerragh.n	gerragh	self	s.	nyn gerragh	collapsed
